cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
prrc;fld_s05i205;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;CONVECTIVE RAINFALL RATE     KG/M2/S;convective_rainfall_flux
prrc;fld_s05i205;;kg m-2 s-1;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;CONVECTIVE RAINFALL RATE     KG/M2/S;convective_rainfall_flux
prrc;fld_s05i205;;kg m-2 s-1;time lat lon;longitude latitude time;day;atmos;area: time: mean;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;CONVECTIVE RAINFALL RATE KG/M2/S;convective_rainfall_flux
prsnc;fld_s05i206;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;CONVECTIVE SNOWFALL RATE KG/M2/S;convective_snowfall_flux
prsnc;fld_s05i206;;kg m-2 s-1;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;CONVECTIVE SNOWFALL RATE KG/M2/S;convective_snowfall_flux
prsnc;fld_s05i206;;kg m-2 s-1;time lat lon;longitude latitude time;day;atmos;area: time: mean;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;CONVECTIVE SNOWFALL RATE KG/M2/S;convective_snowfall_flux
prsn;fld_s05i215;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;TOTAL SNOWFALL RATE: LS+CONV KG/M2/S;snowfall_flux
prsn;fld_s05i215;;kg m-2 s-1;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;TOTAL SNOWFALL RATE: LS+CONV KG/M2/S;snowfall_flux
prsn;fld_s05i215;;kg m-2 s-1;time lat lon;longitude latitude time;day;atmos;area: time: mean;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;TOTAL SNOWFALL RATE: LS+CONV KG/M2/S;snowfall_flux
prw;fld_s30i461;;kg m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;TOTAL COLUMN Q (WATER VAPOUR PATH);
prw;fld_s30i404 fld_s30i403 fld_s30i405 fld_s30i406;var[0]-(var[1]+var[2]+var[3]);kg m-2;time lat lon;longitude latitude time;mon;atmos;area: time: point;;MIP_APmon;CM2;float32;110592;2081;cm000a.pm;;
ps;fld_s00i409;;Pa;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;SURFACE PRESSURE AFTER TIMESTEP;surface_air_pressure
ps;fld_s00i409;;Pa;time lat lon;longitude latitude time1;3hrPt;atmos;area: time: point;;CMIP6_E3hrPt;CM2;float32;110592;578880;cm000a.p8;SURFACE PRESSURE AFTER TIMESTEP;surface_air_pressure
psl;fld_s16i222;;Pa;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;PRESSURE AT MEAN SEA LEVEL;air_pressure_at_sea_level
psl;fld_s16i222;;Pa;time lat lon;longitude latitude time1;6hrPt;atmos;area: time: point;;MIP_AP6hrPt;CM2;float32;110592;270144;cm000a.p7;PRESSURE AT MEAN SEA LEVEL;air_pressure_at_sea_level
psl;fld_s16i222;;Pa;time lat lon;longitude latitude time;day;atmos;area: time: mean;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;PRESSURE AT MEAN SEA LEVEL;air_pressure_at_sea_level
rldscs;fld_s02i208;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;down;MIP_APday;CM2;float32;110592;74772;cm000a.pd;CLEAR-SKY (II) DOWN SURFACE LW FLUX;surface_downwelling_longwave_flux_in_air_assuming_clear_sky
rldscs;fld_s02i208;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;CM2;float32;110592;2081;cm000a.pm;CLEAR-SKY (II) DOWN SURFACE LW FLUX;surface_downwelling_longwave_flux_in_air_assuming_clear_sky
rlds;fld_s02i207;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;CM2;float32;110592;12;cw323a.pm;DOWNWARD LW RAD FLUX: SURFACE;surface_downwelling_longwave_flux_in_air
rlds;fld_s02i207;;W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;down;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;DOWNWARD LW RAD FLUX: SURFACE;surface_downwelling_longwave_flux_in_air
rlds;fld_s02i207;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;down;MIP_APday;CM2;float32;110592;74772;cm000a.pd;DOWNWARD LW RAD FLUX: SURFACE;surface_downwelling_longwave_flux_in_air
rls;fld_s02i201;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;CM2;float32;110592;12;cw323a.pm;NET DOWN SURFACE LW RAD FLUX;surface_net_downward_longwave_flux
rls;fld_s02i201;;W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;down;CM2_3hr;CM2;float32;110592;578880;cm000a.p8;NET DOWN SURFACE LW RAD FLUX;surface_net_downward_longwave_flux
rls;fld_s02i201;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;down;MIP_APday;CM2;float32;110592;74772;cm000a.pd;NET DOWN SURFACE LW RAD FLUX;surface_net_downward_longwave_flux
rlus;fld_s02i207 fld_s02i201 fld_s03i332 fld_s02i205;var[0]-var[1]+var[2]-var[3];W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;CM2;float32;110592;12;cw323a.pm;Surface Upwelling Shortwave Radiation;surface_upwelling_shortwave_flux_in_air
rlus;fld_s02i207 fld_s02i201 fld_s03i332 fld_s02i205;var[0]-var[1]+var[2]-var[3];W m-2;time lat lon;longitude latitude time;day;atmos;;up;MIP_APday;CM2;float32;110592;74772;cm000a.pd;Surface Upwelling Shortwave Radiation;surface_upwelling_shortwave_flux_in_air
rlus;fld_s02i207 fld_s02i201 fld_s03i332 fld_s02i205;var[0]-var[1]+var[2]-var[3];W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;;up;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;Surface Upwelling Shortwave Radiation;surface_upwelling_shortwave_flux_in_air
rlutcs;fld_s02i206;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;CM2;float32;110592;12;cw323a.pm;CLEAR-SKY (II) UPWARD LW FLUX (TOA);toa_outgoing_longwave_flux_assuming_clear_sky
rlutcs;fld_s02i206;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;up;MIP_APday;CM2;float32;110592;74772;cm000a.pd;CLEAR-SKY (II) UPWARD LW FLUX (TOA);toa_outgoing_longwave_flux_assuming_clear_sky
rlut;fld_s02i205;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;CM2;float32;110592;12;cw323a.pm;OUTGOING LW RAD FLUX (TOA);toa_outgoing_longwave_flux
rlut;fld_s02i205;;W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;up;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;OUTGOING LW RAD FLUX (TOA);toa_outgoing_longwave_flux
rlut;fld_s02i205;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;up;MIP_APday;CM2;float32;110592;74772;cm000a.pd;OUTGOING LW RAD FLUX (TOA);toa_outgoing_longwave_flux
rlut;fld_s03i332;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;CM2;float32;110592;12;cw323a.pm;TOA OUTGOING LW RAD AFTER B.LAYER;toa_outgoing_longwave_flux
rlut;fld_s03i332;;W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;up;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;TOA OUTGOING LW RAD AFTER B.LAYER;toa_outgoing_longwave_flux
rlut;fld_s03i332;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;up;MIP_APday;CM2;float32;110592;74772;cm000a.pd;TOA OUTGOING LW RAD AFTER B.LAYER;toa_outgoing_longwave_flux
rsdscs;fld_s01i210;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;CM2;float32;110592;12;cw323a.pm;CLEAR-SKY (II) DOWN SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air_assuming_clear_sky
rsdscs;fld_s01i210;;W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;down;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;CLEAR-SKY (II) DOWN SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air_assuming_clear_sky
rsdsdiff;fld_s01i216;;W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;down;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;DIFFUSE SURFACE SW FLUX : CORRECTED;surface_diffuse_downwelling_shortwave_flux_in_air
rsds;fld_s01i235;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;CM2;float32;110592;12;cw323a.pm;TOTAL DOWNWARD SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air
rsds;fld_s01i235;;W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;down;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;TOTAL DOWNWARD SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air
rsds;fld_s01i235;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;down;MIP_APday;CM2;float32;110592;74772;cm000a.pd;TOTAL DOWNWARD SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air
rsdt;fld_s01i207;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;CM2;float32;110592;12;cw323a.pm;INCOMING SW RAD FLUX (TOA): ALL TSS;toa_incoming_shortwave_flux
rss;fld_s01i201;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;CM2;float32;110592;12;cw323a.pm;NET DOWN SURFACE SW FLUX: SW TS ONLY;surface_net_downward_shortwave_flux
rss;fld_s01i201;;W m-2;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;down;CM2_3hr;CM2;float32;110592;578880;cm000a.p8;NET DOWN SURFACE SW FLUX: SW TS ONLY;surface_net_downward_shortwave_flux
