cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
rlut;fld_s02i205;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;AM3;float32;110592;480;di787a.pm;OUTGOING LW RAD FLUX (TOA);toa_outgoing_longwave_flux
rlut;fld_s03i332;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;AM3;float32;110592;480;di787a.pm;TOA OUTGOING LW RAD AFTER B.LAYER;toa_outgoing_longwave_flux
rlutcs;fld_s02i206;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;AM3;float32;110592;480;di787a.pm;CLEAR-SKY (II) UPWARD LW FLUX (TOA);toa_outgoing_longwave_flux_assuming_clear_sky
rsds;fld_s01i235;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;down;MIP_APday;AM3;float32;110592;14400;di787a.pd;TOTAL DOWNWARD SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air
rsds;fld_s01i235;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;AM3;float32;110592;480;di787a.pm;TOTAL DOWNWARD SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air
rsdscs;fld_s01i210;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;AM3;float32;110592;480;di787a.pm;CLEAR-SKY (II) DOWN SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air_assuming_clear_sky
rsdt;fld_s01i207;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;AM3;float32;110592;480;di787a.pm;INCOMING SW RAD FLUX (TOA): ALL TSS;toa_incoming_shortwave_flux
rss;fld_s01i201;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;down;MIP_APday;AM3;float32;110592;14400;di787a.pd;NET DOWN SURFACE SW FLUX: SW TS ONLY;surface_net_downward_shortwave_flux
rss;fld_s01i201;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;AM3;float32;110592;480;di787a.pm;NET DOWN SURFACE SW FLUX: SW TS ONLY;surface_net_downward_shortwave_flux
rsuscs;fld_s01i211;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;AM3;float32;110592;480;di787a.pm;CLEAR-SKY (II) UP SURFACE SW FLUX;surface_upwelling_shortwave_flux_in_air_assuming_clear_sky
rsut;fld_s01i208;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;AM3;float32;110592;480;di787a.pm;OUTGOING SW RAD FLUX (TOA);toa_outgoing_shortwave_flux
rsutcs;fld_s01i209;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;up;MIP_APmon;AM3;float32;110592;480;di787a.pm;CLEAR-SKY (II) UPWARD SW FLUX (TOA);toa_outgoing_shortwave_flux_assuming_clear_sky
sci;fld_s05i270;;1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;shallow convection indicator;
ta17;fld_s30i294;;K;time pressure lat lon;longitude latitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1880064;480;di787a.pa;TEMPERATURE ON P LEV/T GRID;air_temperature
tas;fld_s03i236;;K;time lat lon;longitude latitude time height1.5m;day;atmos;area: time: mean;;CM2_day;AM3;float32;110592;14400;di787a.pd;TEMPERATURE AT 1.5M;air_temperature
tas;fld_s03i236;;K;time lat lon;longitude latitude time height2m;day;atmos;area: time: mean;;MIP_APday;AM3;float32;110592;14400;di787a.pd;TEMPERATURE AT 1.5M;air_temperature
tas;fld_s03i236;;K;time lat lon;longitude latitude time height1.5m;mon;atmos;area: time: mean;;CM2_mon;AM3;float32;110592;480;di787a.pm;TEMPERATURE AT 1.5M;air_temperature
tas;fld_s03i236;;K;time lat lon;longitude latitude time height2m;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;TEMPERATURE AT 1.5M;air_temperature
tasmax;fld_s03i236_max;;K;time lat lon;longitude latitude time height1.5m;day;atmos;area: time: maximum;;CM2_day;AM3;float32;110592;14400;di787a.pd;TEMPERATURE AT 1.5M;air_temperature
tasmax;fld_s03i236_max;;K;time lat lon;longitude latitude time height2m;day;atmos;area: time: maximum;;MIP_APday;AM3;float32;110592;14400;di787a.pd;TEMPERATURE AT 1.5M;air_temperature
tasmin;fld_s03i236_min;;K;time lat lon;longitude latitude time height1.5m;day;atmos;area: time: minimum;;CM2_day;AM3;float32;110592;14400;di787a.pd;TEMPERATURE AT 1.5M;air_temperature
tasmin;fld_s03i236_min;;K;time lat lon;longitude latitude time height2m;day;atmos;area: time: minimum;;MIP_APday;AM3;float32;110592;14400;di787a.pd;TEMPERATURE AT 1.5M;air_temperature
tauu;fld_s03i460;;Pa;time lat lon_u;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;AM3;float32;110592;480;di787a.pm;X-COMP SURFACE BL STRESS;surface_downward_eastward_stress
tauv;fld_s03i461;;Pa;time lat_v lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;AM3;float32;111360;480;di787a.pm;Y-COMP SURFACE BL STRESS;surface_downward_northward_stress
ta17uvgrid;fld_s30i204;;K;time pressure lat_v lon_u;gridlongitude gridlatitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1893120;480;di787a.pa;TEMPERATURE ON P LEV/UV GRID;air_temperature
